Skill|Type
Drupal|Framework
Duckreek|Framework
Java|Backend
Informatica|Analytics
PowerBI|Analytics
IOS|Backend
ITIL|Support
Kafka|Framework
Mainframe|Backend
Manual Testing|Testing
Mulesoft|Framework
Oracle|Database
SQL|Database
PHP|FE
PLSQL|Database
Python|Backend
Quality/Team Management|Operations
Salesforce|Framework
Scrum/BA|Operations
Tibco|Backend
Vmware|Framework
Product Owner|Operations
Sharepoint|Operations
Release Management|Operations
Selenium|Testing
QuickView|Analytics
Snowflakes|Analytics
